Gene	Category	Number of Datasets Detected In	Percent of Datasets Detected in 	All Average TPM 	Tau	NZ Average TPM	NZ Minimum TPM	NZ Standard Deviation 	Highest Maximum TPM	Highest Dataset with Maximum TPM	Highest Median of that Dataset	Highest Difference Between Gene Maximum and Dataset Median
AT5G04250	Canonical	5664	99.84	6.8057	0.6712	6.8165	0.0394	9.9912	210.1251	SRR5748831	4.7929	205.3322
AT5G04260	Canonical	5660	99.77	17.6031	0.3912	17.6436	0.0706	9.1793	96.1357	SRR4175406	3.8117	92.324
AT5G04267	Unobserved	1246	21.96	0.1747	0.954	0.7956	0.0457	0.8065	10.9926	SRR3707806	7.2717	3.7209
AT5G04270	Canonical	5668	99.91	5.8746	0.4933	5.8798	0.0484	3.0996	36.2672	SRR3664389	3.384	32.8832
AT5G04280	Canonical	5672	99.98	31.5615	0.3214	31.5671	0.3477	15.5194	139.9369	SRR1791621	8.4285	131.5084
AT5G04290	Canonical	5670	99.95	16.0637	0.4657	16.0722	0.1641	12.0299	129.5468	ERR1698207	7.4333	122.1135
AT5G04310	Canonical	5616	99	2.1276	0.7335	2.1492	0.0073	2.7386	32.0251	SRR2240265	7.338	24.6871
AT5G04320	Canonical	5670	99.95	12.568	0.4681	12.5747	0.0169	8.9228	90.4994	ERR1698207	7.4333	83.0661
AT5G04330	Canonical	5644	99.49	4.689	0.7466	4.7131	0.0269	9.3096	253.5662	SRR3664418	4.3165	249.2496
AT5G04340	Canonical	5627	99.19	48.5856	0.5911	48.9827	0.0375	101.4634	1168.3113	SRR2240265	7.338	1160.9733
AT5G04347	Canonical	445	7.84	0.2944	0.9846	3.7529	0.0168	8.4249	95.4027	SRR5479136	0.2168	95.1859
AT5G04350	Other	393	6.93	0.1716	0.9879	2.4777	0.0285	6.4652	62.272	SRR3581726	6.8796	55.3923
AT5G04360	Canonical	5663	99.82	10.8064	0.4446	10.8255	0.0238	8.1464	53.0947	ERR1698205	4.5515	48.5433
AT5G04370	Canonical	4724	83.27	2.0489	0.8464	2.4605	0.0098	4.7425	99.4738	SRR3664372	4.6628	94.811
AT5G04380	Unobserved	2247	39.61	2.3976	0.9306	6.0533	0.0071	16.3502	188.8555	SRR2927365	1.2597	187.5959
AT5G04390	Other	5129	90.41	1.4166	0.8408	1.5669	0.0146	2.6259	64.9606	SRR5167795	2.0685	62.8921
AT5G04395	Unobserved	303	5.34	0.0272	0.9909	0.5088	0.015	0.7259	6.1317	SRR1791616	10.9004	-4.7688
AT5G04400	Other	2148	37.86	0.1477	0.9489	0.39	0.0143	0.5264	7.4792	SRR1791616	10.9004	-3.4212
AT5G04410	Other	5673	100	62.9559	0.2851	62.9559	2.2127	29.5966	291.8008	SRR3928352	3.7147	288.0861
AT5G04420	Canonical	5673	100	24.5439	0.406	24.5439	0.2428	12.9973	184.4802	ERR1698204	4.7257	179.7545
AT5G04430	Canonical	5673	100	89.0511	0.2182	89.0511	0.0487	34.6995	282.2317	ERR472930	5.0792	277.1526
AT5G04440	Canonical	5672	99.98	45.598	0.2929	45.6061	0.9743	20.2563	191.7167	SRR4299118	3.6288	188.0879
AT5G04460	Canonical	5673	100	14.2018	0.4089	14.2018	0.0265	8.5606	78.2556	ERR1698195	8.9484	69.3072
AT5G04470	Other	5656	99.7	14.8469	0.6407	14.8915	0.0702	25.1344	532.5269	SRR3290790	4.814	527.7129
AT5G04480	Canonical	5672	99.98	12.901	0.4547	12.9032	0.082	8.3437	91.5766	SRR3348564	10.7136	80.863
AT5G04490	Canonical	5652	99.63	27.8851	0.3813	27.9887	0.0268	19.31	137.1006	ERR476704	4.6587	132.4418
AT5G04500	Canonical	2851	50.26	1.7068	0.9515	3.3962	0.0042	14.4348	226.271	DRR090541	1.0969	225.1741
AT5G04510	Canonical	5673	100	26.0062	0.3959	26.0062	0.0516	12.6961	189.8813	SRR3311812	6.0171	183.8641
AT5G04520	Canonical	5669	99.93	14.3368	0.3669	14.3469	0.0401	6.3315	63.6594	SRR4113378	6.0166	57.6428
AT5G04530	Canonical	5106	90.01	41.2833	0.5927	45.8677	0.0144	66.8085	1036.3638	SRR5229953	6.6416	1029.7222
AT5G04540	Canonical	5673	100	13.5821	0.4221	13.5821	0.059	7.3397	83.5808	SRR3664390	3.4398	80.141
AT5G04550	Canonical	5673	100	59.9174	0.3011	59.9174	0.363	26.5941	312.7283	SRR2086505	4.2462	308.4821
AT5G04560	Canonical	5673	100	18.7491	0.5033	18.7491	0.1171	14.2653	278.8254	ERR1698207	7.4333	271.3921
AT5G04590	Canonical	5673	100	171.5821	0.2603	171.5821	1.0063	89.8206	868.8311	SRR4293717	3.8166	865.0145
AT5G04600	Canonical	5673	100	42.1894	0.3755	42.1894	0.3723	27.6627	310.8131	SRR4299118	3.6288	307.1843
AT5G04620	Canonical	5667	99.89	10.6942	0.503	10.7055	0.0231	8.0714	92.1931	SRR2927352	5.2744	86.9187
AT5G04630	Other	4342	76.54	0.2721	0.9442	0.3555	0.0135	0.7077	36.3557	SRR1231507	0.7191	35.6366
AT5G04640	Unobserved	452	7.97	0.0685	0.9898	0.8603	0.02	2.2531	20.3299	SRR4044748	8.0149	12.315
AT5G04670	Canonical	5673	100	11.3982	0.3855	11.3982	0.0093	5.2574	51.0276	SRR1773575	9.9262	41.1014
AT5G04680	Canonical	5518	97.27	2.0994	0.7325	2.1584	0.0086	2.0131	39.9004	SRR3664392	6.4412	33.4592
AT5G04690	Other	5312	93.64	1.1883	0.7215	1.2691	0.0082	0.9916	11.1296	SRR5826947	4.9684	6.1612
AT5G04700	Canonical	5621	99.08	1.7821	0.6124	1.7985	0.0157	1.1306	10.6032	ERR1698200	9.2014	1.4017
AT5G04710	Canonical	5671	99.96	25.8421	0.2661	25.8512	0.4223	10.2755	75.9097	SRR5480330	1.6657	74.244
AT5G04720	Canonical	5673	100	40.9695	0.4061	40.9695	0.1088	32.6397	325.5638	SRR3349413	5.8199	319.7439
AT5G04730	Canonical	2363	41.65	0.8188	0.967	1.9658	0.005	9.8268	219.408	DRR070522	9.3616	210.0464
AT5G04740	Canonical	5673	100	50.7137	0.3725	50.7137	0.2655	37.3899	379.5186	SRR5195556	10.037	369.4816
AT5G04750	Canonical	5673	100	81.2223	0.3944	81.2223	0.7972	65.4748	1022.0778	ERR903950	6.9734	1015.1044
AT5G04760	Canonical	5671	99.96	34.1568	0.4655	34.1689	0.2631	31.5512	454.2179	SRR3664386	5.6716	448.5463
AT5G04770	Canonical	5654	99.67	7.8208	0.729	7.847	0.0132	14.0874	435.4273	SRR2828722	0.852	434.5754
AT5G04780	Canonical	5657	99.72	4.3722	0.5631	4.3846	0.0152	2.5621	35.3333	SRR2828730	0.4495	34.8838
AT5G04800	Other	5673	100	110.2347	0.3154	110.2347	0.1845	84.3158	685.2205	SRR5480328	1.237	683.9836
AT5G04810	Canonical	5673	100	51.8231	0.2989	51.8231	0.1345	29.7338	218.2307	SRR3418165	6.4463	211.7844
AT5G04820	Unobserved	5665	99.86	12.9548	0.5053	12.9731	0.115	8.5497	142.0968	SRR1231506	1.6647	140.4321
AT5G04830	Canonical	5673	100	58.5075	0.3888	58.5075	0.536	36.8935	621.9774	ERR1194865	2.8348	619.1426
AT5G04840	Canonical	5654	99.67	4.1721	0.7062	4.1861	0.0185	5.197	109.9317	SRR2521321	8.9177	101.014
AT5G04850	Canonical	5673	100	28.4082	0.3971	28.4082	0.0905	13.0828	229.758	SRR1231506	1.6647	228.0933
AT5G04853	Unobserved	39	0.69	0.1391	0.9983	20.2291	0.1734	45.3534	147.9069	SRR3956086	7.6828	140.2241
AT5G04860	Canonical	5671	99.96	15.7128	0.541	15.7183	0.0603	19.0736	180.3438	SRR1773559	9.8494	170.4945
AT5G04870	Canonical	5673	100	41.5406	0.3666	41.5406	0.8129	28.0688	274.6542	SRR1773568	8.999	265.6552
AT5G04885	Canonical	5666	99.88	18.4279	0.5097	18.4506	0.198	19.8777	221.928	SRR3581867	9.6638	212.2641
AT5G04890	Canonical	5584	98.43	10.5958	0.6525	10.7647	0.0177	14.0342	392.2297	SRR3664372	4.6628	387.567
AT5G04895	Canonical	5667	99.89	4.6985	0.6393	4.7035	0.0243	3.9566	71.6952	SRR5239991	3.9493	67.7459
AT5G04900	Canonical	5670	99.95	16.3063	0.321	16.3149	0.0435	8.3708	50.1732	SRR1976483	2.5765	47.5968
AT5G04910	Canonical	5671	99.96	24.8719	0.4238	24.8807	0.0764	12.8847	226.2869	ERR1698209	6.5967	219.6902
AT5G04920	Canonical	5673	100	31.2843	0.2875	31.2843	0.6902	12.147	115.8099	ERR1194857	4.0063	111.8036
AT5G04930	Canonical	5673	100	38.5187	0.4096	38.5187	0.3094	33.8714	328.4866	SRR5197906	5.9895	322.4972
AT5G04933	Unobserved	164	2.89	0.017	0.9936	0.5896	0.0374	0.7267	4.8295	SRR3581888	8.4986	-3.6691
AT5G04937	Other	636	11.21	0.0519	0.9859	0.4632	0.0086	0.8532	9.4311	SRR4920085	8.8819	0.5492
AT5G04940	Canonical	5672	99.98	16.1304	0.4275	16.1333	0.0383	8.3828	116.7802	SRR5755226	4.8087	111.9716
AT5G04950	Canonical	5190	91.49	66.1474	0.5763	72.3033	0.0214	105.2425	1295.2402	SRR2037321	5.5168	1289.7235
AT5G04960	Canonical	2930	51.65	14.4227	0.824	27.9248	0.0075	51.8519	1227.6501	SRR5238815	0.0487	1227.6014
AT5G04970	Canonical	3997	70.46	6.1062	0.8782	8.6666	0.008	35.8502	924.5293	SRR5452974	2.8935	921.6358
AT5G04980	Other	5620	99.07	4.8779	0.6547	4.924	0.0112	5.2831	84.8248	SRR3664384	6.515	78.3097
AT5G04990	Canonical	5673	100	30.219	0.3702	30.219	1.1505	12.7162	207.8126	SRR5344021	5.224	202.5886
AT5G05000	Canonical	5673	100	28.7453	0.3041	28.7453	0.2246	14.2198	108.3829	ERR1698209	6.5967	101.7862
AT5G05010	Canonical	5673	100	102.9137	0.295	102.9137	2.4344	46.7729	623.8488	SRR5448377	4.7432	619.1057
AT5G05020	Canonical	1454	25.63	0.5529	0.9886	2.157	0.0144	26.1791	560.2528	SRR4095609	2.4251	557.8278
AT5G05030	Canonical	236	4.16	0.3937	0.9935	9.4628	0.014	28.7113	246.2677	SRR5229948	8.1855	238.0822
AT5G05040	Other	2314	40.79	0.6475	0.9374	1.5873	0.0178	3.8012	46.668	SRR2962411	8.2945	38.3735
AT5G05050	Other	385	6.79	0.024	0.9947	0.3532	0.0114	0.9784	15.2258	ERR1698196	7.237	7.9888
AT5G05060	Other	5553	97.88	51.8036	0.5214	52.9231	0.0317	67.9572	1412.3478	ERR1588944	6.4198	1405.9281
AT5G05070	Canonical	1588	27.99	0.3218	0.98	1.1498	0.0051	6.8393	149.9383	SRR3581852	0.7188	149.2194
AT5G05080	Canonical	5673	100	78.7876	0.2502	78.7876	1.4868	44.5087	278.4912	SRR1976483	2.5765	275.9147
AT5G05085	Unobserved	1893	33.37	0.06	0.9639	0.1798	0.0102	0.2234	3.1057	SRR3664394	6.4488	-3.3431
AT5G05100	Canonical	5673	100	58.878	0.3366	58.878	1.4568	35.8517	375.3766	SRR2828722	0.852	374.5246
AT5G05110	Canonical	5671	99.96	38.6851	0.4647	38.6987	0.1268	38.0062	547.7507	SRR5167794	1.9736	545.777
AT5G05113	Unobserved	565	9.96	0.0766	0.9831	0.7695	0.0378	1.1808	16.2154	SRR5229952	7.0355	9.1799
AT5G05120	Unobserved	213	3.75	0.1103	0.9947	2.9385	0.0455	9.0476	55.4666	SRR5229965	8.1628	47.3037
AT5G05130	Canonical	5666	99.88	4.9323	0.5684	4.9384	0.0702	3.5491	43.4392	ERR1698208	7.8572	35.582
AT5G05140	Canonical	5672	99.98	29.3502	0.4346	29.3554	0.1035	25.6227	232.8645	SRR1773568	8.999	223.8655
AT5G05150	Unobserved	2317	40.84	0.102	0.9535	0.2497	0.011	0.3352	4.8004	SRR2828728	5.3449	-0.5445
AT5G05160	Canonical	5632	99.28	20.6986	0.5414	20.8493	0.0105	23.7327	324.4499	SRR3664387	4.49	319.9599
AT5G05170	Canonical	5673	100	178.6797	0.2338	178.6797	0.9465	94.1838	710.1626	SRR3664437	2.8598	707.3029
AT5G05180	Canonical	5659	99.75	16.8658	0.4973	16.9075	0.0201	15.9728	158.5794	SRR5229951	7.9101	150.6694
AT5G05190	Canonical	5659	99.75	11.1297	0.6055	11.1572	0.0331	16.7118	207.7814	SRR5675378	8.1016	199.6798
AT5G05200	Canonical	5673	100	76.5213	0.3123	76.5213	0.1689	54.2187	379.7635	SRR3371301	5.2687	374.4948
