Gene	Category	Number of Datasets Detected In	Percent of Datasets Detected in 	All Average TPM 	Tau	NZ Average TPM	NZ Minimum TPM	NZ Standard Deviation 	Highest Maximum TPM	Highest Dataset with Maximum TPM	Highest Median of that Dataset	Highest Difference Between Gene Maximum and Dataset Median
AT1G24090	Canonical	5640	99.42	3.2429	0.6786	3.2619	0.0203	3.3903	42.0824	SRR5755226	4.8087	37.2738
AT1G24095	Canonical	5663	99.82	5.9665	0.6687	5.9771	0.0515	8.0228	131.3472	SRR2086497	3.9574	127.3898
AT1G24100	Canonical	5673	100	98.9635	0.3919	98.9635	0.1029	85.3829	1169.2702	ERR1698195	8.9484	1160.3217
AT1G24110	Canonical	567	9.99	0.1781	0.9917	1.7822	0.0106	9.8954	171.9542	SRR5479136	0.2168	171.7374
AT1G24120	Canonical	5673	100	20.7238	0.3683	20.7238	0.3434	9.3261	111.3854	SRR2102895	6.7267	104.6587
AT1G24130	Canonical	4755	83.82	2.1406	0.8609	2.5539	0.0136	6.491	181.1754	SRR3664387	4.49	176.6854
AT1G24140	Canonical	5378	94.8	8.2429	0.748	8.6951	0.016	20.5007	222.6519	SRR2086503	4.2668	218.3851
AT1G24145	Unobserved	4430	78.09	12.635	0.795	16.1802	0.0226	38.0353	721.4293	SRR5197924	4.7392	716.6902
AT1G24147	Canonical	4455	78.53	25.6925	0.7338	32.7168	0.009	68.1058	849.0249	ERR1194864	2.7891	846.2359
AT1G24148	Unobserved	4779	84.24	19.986	0.6395	23.7248	0.0204	30.7348	375.3098	SRR3165543	2.22	373.0898
AT1G24150	Canonical	5673	100	14.5855	0.5537	14.5855	0.0104	18.8168	195.8499	SRR3664378	2.3196	193.5303
AT1G24159	Unobserved	1054	18.58	0.1269	0.9747	0.6832	0.0206	1.2606	18.418	ERR1698203	5.5134	12.9046
AT1G24160	Canonical	5671	99.96	46.1855	0.4227	46.2018	0.7165	33.2168	605.8333	ERR1698199	6.792	599.0413
AT1G24170	Canonical	5670	99.95	57.4385	0.3296	57.4689	0.0331	37.124	309.7944	SRR5487681	8.8006	300.9938
AT1G24180	Canonical	5673	100	75.0944	0.3346	75.0944	0.5801	58.5275	463.9488	SRR5238815	0.0487	463.9001
AT1G24190	Canonical	5672	99.98	18.5904	0.43	18.5937	0.0493	10.399	147.0774	SRR1773563	9.9314	137.146
AT1G24200	Other	321	5.66	0.0732	0.9906	1.2938	0.0205	2.744	25.2088	ERR1588981	6.0787	19.1301
AT1G24210	Unobserved	5631	99.26	1.9436	0.6962	1.9581	0.0285	1.559	24.8421	SRR5229947	7.8518	16.9903
AT1G24220	Unobserved	1025	18.07	0.1035	0.9887	0.5727	0.0023	2.2809	33.5558	SRR3581857	6.9376	26.6181
AT1G24230	Unobserved	974	17.17	0.1858	0.9845	1.0819	0.0126	3.8725	55.5098	SRR1791616	10.9004	44.6094
AT1G24240	Other	5666	99.88	11.9206	0.5031	11.9353	0.0992	8.0809	119.5112	SRR1231507	0.7191	118.7921
AT1G24250	Other	1303	22.97	0.2086	0.9855	0.908	0.0074	4.7019	84.558	SRR1791616	10.9004	73.6576
AT1G24256	Unobserved	478	8.43	0.04	0.9873	0.4748	0.0232	0.8003	6.6699	SRR2136684	10.6751	-4.0051
AT1G24260	Canonical	4898	86.34	14.1364	0.8337	16.3731	0.0092	50.2814	553.7479	SRR1791624	9.6339	544.114
AT1G24265	Canonical	5665	99.86	3.3443	0.6439	3.349	0.0531	2.9397	37.7602	SRR2828730	0.4495	37.3107
AT1G24267	Canonical	5673	100	24.8373	0.3524	24.8373	0.1054	10.1678	132.9324	SRR5239991	3.9493	128.9831
AT1G24270	Unobserved	4337	76.45	0.8291	0.8982	1.0845	0.0207	2.0656	92.6304	ERR1698204	4.7257	87.9046
AT1G24280	Canonical	5668	99.91	17.2775	0.5674	17.2927	0.0252	21.9138	302.9577	SRR5044987	8.261	294.6967
AT1G24290	Canonical	5668	99.91	6.8757	0.5342	6.8817	0.0339	4.0241	62.3493	SRR1231506	1.6647	60.6846
AT1G24300	Canonical	5673	100	18.7252	0.3846	18.7252	0.0084	8.7736	106.7034	SRR1773565	10.6749	96.0285
AT1G24310	Canonical	5670	99.95	21.9907	0.4045	22.0024	0.022	15.7327	134.394	SRR5239991	3.9493	130.4447
AT1G24320	Canonical	4501	79.34	1.6874	0.8693	2.1268	0.0052	4.9626	65.3119	SRR5044978	9.0702	56.2417
AT1G24330	Canonical	5665	99.86	3.3911	0.7101	3.3959	0.0474	4.0964	84.694	SRR1773585	6.5342	78.1598
AT1G24340	Canonical	5653	99.65	10.9194	0.4256	10.958	0.0274	5.4227	60.4516	SRR3418165	6.4463	54.0052
AT1G24350	Other	5670	99.95	16.5084	0.3574	16.5171	0.0618	7.6823	71.9082	SRR5167803	1.1211	70.7871
AT1G24360	Canonical	5673	100	98.536	0.404	98.536	1.3409	72.8863	1667.5178	SRR5755226	4.8087	1662.7092
AT1G24380	Unobserved	1004	17.7	0.0361	0.9899	0.2041	0.0088	0.6053	11.6443	ERR1698207	7.4333	4.211
AT1G24388	Unobserved	512	9.03	2.6768	0.9615	29.6592	0.0351	34.4944	194.8019	SRR3508141	2.2619	192.5401
AT1G24390	Unobserved	272	4.79	0.0528	0.9943	1.1009	0.015	2.9386	30.4963	SRR5480329	1.9122	28.5841
AT1G24400	Canonical	5343	94.18	4.9921	0.7466	5.3005	0.0122	9.1265	249.8727	SRR3581863	10.3262	239.5465
AT1G24405	Other	4947	87.2	1.7379	0.8788	1.993	0.0363	7.0897	386.3385	SRR5479136	0.2168	386.1217
AT1G24420	Canonical	3699	65.2	0.6504	0.9243	0.9976	0.0083	2.442	43.1482	DRR070515	9.5056	33.6426
AT1G24430	Canonical	3701	65.24	4.7271	0.8025	7.2459	0.0083	11.3875	113.0924	SRR5195559	7.7567	105.3357
AT1G24440	Unobserved	5672	99.98	17.1683	0.478	17.1713	0.0328	12.6862	181.67	ERR903950	6.9734	174.6966
AT1G24450	Canonical	5670	99.95	20.5436	0.4192	20.5545	0.0784	13.8678	149.4161	SRR2927339	2.1257	147.2904
AT1G24460	Canonical	5673	100	24.2247	0.4452	24.2247	0.2792	15.6844	255.8213	SRR1773565	10.6749	245.1464
AT1G24470	Canonical	5362	94.52	1.8358	0.8185	1.9422	0.0104	3.7007	56.6731	SRR3707607	6.5966	50.0764
AT1G24480	Canonical	3700	65.22	0.5389	0.9186	0.8263	0.016	1.5679	45.3263	SRR3664391	1.8349	43.4915
AT1G24485	Unobserved	1200	21.15	0.1433	0.9792	0.6776	0.0041	1.8568	25.5675	DRR070515	9.5056	16.0619
AT1G24490	Canonical	5672	99.98	22.9334	0.3577	22.9375	0.0587	11.5703	118.2648	SRR3508142	2.2367	116.0281
AT1G24510	Canonical	5673	100	140.5943	0.3193	140.5943	0.999	88.2673	1110.7985	ERR903950	6.9734	1103.8251
AT1G24520	Unobserved	2223	39.19	19.3038	0.9633	49.2626	0.0131	510.1456	19589.7329	SRR5479136	0.2168	19589.5161
AT1G24530	Canonical	5664	99.84	19.8739	0.5745	19.9055	0.0182	25.8726	397.1676	SRR5220588	7.3646	389.803
AT1G24540	Canonical	1853	32.66	2.8273	0.97	8.6558	0.0051	41.1764	387.698	SRR3581884	8.2449	379.4531
AT1G24545	Unobserved	473	8.34	0.015	0.992	0.1801	0.0102	0.2749	3.6541	SRR2828729	2.0718	1.5824
AT1G24560	Canonical	5673	100	24.8551	0.404	24.8551	0.9053	14.4734	186.099	SRR2102895	6.7267	179.3724
AT1G24570	Canonical	4278	75.41	0.1944	0.9388	0.2578	0.0071	0.5766	8.7552	SRR5229964	7.5475	1.2077
AT1G24575	Canonical	5378	94.8	31.4308	0.6686	33.1549	0.0408	73.4068	3807.7826	SRR3581683	5.8939	3801.8887
AT1G24577	Other	4716	83.13	3.0379	0.6345	3.6544	0.0319	2.6323	21.7012	SRR1761520	5.887	15.8142
AT1G24580	Unobserved	5131	90.45	11.0147	0.8023	12.1782	0.0422	40.0554	1026.2894	SRR5952362	7.2014	1019.0879
AT1G24590	Unobserved	2637	46.48	0.7133	0.9461	1.5344	0.0091	5.2282	94.5468	SRR2136684	10.6751	83.8717
AT1G24600	Unobserved	5653	99.65	15.695	0.6563	15.7505	0.2216	37.996	715.237	SRR2037359	4.7786	710.4584
AT1G24610	Canonical	5673	100	26.9487	0.2964	26.9487	0.2123	9.9266	99.8679	SRR3664390	3.4398	96.4281
AT1G24620	Canonical	3512	61.91	2.5714	0.8988	4.1536	0.0228	16.244	548.6747	SRR3581852	0.7188	547.9559
AT1G24625	Canonical	5588	98.5	26.3533	0.3898	26.7542	0.0155	17.4777	134.9002	ERR1698205	4.5515	130.3487
AT1G24650	Canonical	1447	25.51	0.0881	0.9809	0.3452	0.005	1.0354	13.3414	SRR5229951	7.9101	5.4314
AT1G24660	Unobserved	136	2.4	0.0463	0.9939	1.9324	0.0451	3.3237	17.9161	SRR1810779	8.7639	9.1522
AT1G24706	Canonical	5673	100	11.9566	0.4231	11.9566	0.1374	6.1022	69.9078	SRR1773565	10.6749	59.2329
AT1G24735	Canonical	5466	96.35	4.2463	0.8306	4.4071	0.0195	17.3529	293.779	SRR2927365	1.2597	292.5193
AT1G24764	Canonical	5670	99.95	21.048	0.4772	21.0591	0.3024	12.7654	270.0219	SRR3664389	3.384	266.6378
AT1G24793	Canonical	3347	59	0.576	0.9434	0.9764	0.0123	3.1727	83.9659	ERR1698202	8.5671	75.3988
AT1G24800	Canonical	3536	62.33	0.4814	0.9189	0.7723	0.015	1.3649	31.5473	ERR903954	9.8249	21.7224
AT1G24807	Other	1630	28.73	0.0995	0.9831	0.3462	0.0095	1.3216	23.7687	SRR3141289	6.1917	17.577
AT1G24822	Unobserved	462	8.14	0.0056	0.9955	0.0683	0.0043	0.1137	1.958	ERR1698202	8.5671	-6.6091
AT1G24851	Unobserved	1816	32.01	0.0896	0.9643	0.2799	0.0065	0.4539	5.4996	ERR1588897	6.6629	-1.1633
AT1G24880	Unobserved	144	2.54	0.0015	0.9979	0.0595	0.0043	0.0852	0.8666	ERR1698208	7.8572	-6.9907
AT1G24881	Other	912	16.08	0.0172	0.9718	0.1071	0.0058	0.0902	0.7498	SRR3999633	6.289	-5.5391
AT1G24909	Other	607	10.7	0.0297	0.9922	0.2773	0.0044	0.9053	7.4777	SRR5230988	5.7943	1.6833
AT1G24996	Unobserved	4518	79.64	55.836	0.669	70.1101	0.0345	117.7558	1560.4283	SRR5197927	6.1119	1554.3164
AT1G25025	Unobserved	741	13.06	0.0493	0.9799	0.3776	0.0162	0.5302	4.9523	SRR3664388	5.6565	-0.7042
AT1G25054	Other	812	14.31	0.0147	0.9941	0.1029	0.005	0.2643	7.2126	SRR5452983	6.0299	1.1827
AT1G25055	Other	1094	19.28	0.0245	0.9758	0.1268	0.0089	0.1189	1.4836	SRR5172166	2.2599	-0.7763
AT1G25083	Other	516	9.1	0.0358	0.9923	0.3936	0.0049	1.2232	10.0269	SRR2080031	7.1016	2.9253
AT1G25097	Unobserved	2613	46.06	0.4462	0.9431	0.9688	0.0056	1.9756	51.7114	SRR4381922	10.9791	40.7323
AT1G25112	Unobserved	28	0.49	0.0007	0.9981	0.1462	0.0375	0.0759	0.3865	SRR3664387	4.49	-4.1035
AT1G25141	Unobserved	20	0.35	0.0005	0.9987	0.1311	0.0434	0.0689	0.3327	SRR3480164	2.9736	-2.6409
AT1G25145	Other	655	11.55	0.0114	0.9909	0.0986	0.005	0.146	1.9934	SRR2037360	6.1107	-4.1173
AT1G25150	Other	922	16.25	0.015	0.976	0.0923	0.0076	0.0794	0.784	SRR5172159	2.7586	-1.9746
AT1G25155	Other	343	6.05	0.0275	0.9961	0.4553	0.0058	1.7476	15.7349	SRR5231013	6.3348	9.4
AT1G25180	Unobserved	1181	20.82	0.027	0.9776	0.1295	0.0067	0.1363	1.9178	SRR5487682	10.9721	-9.0543
AT1G25210	Other	686	12.09	0.0119	0.9938	0.0987	0.0063	0.2272	3.9501	SRR5452973	4.1964	-0.2463
AT1G25211	Other	4717	83.15	5.6569	0.6317	6.8034	0.0238	6.1489	50.9015	SRR5222800	2.7804	48.1211
AT1G25220	Canonical	5673	100	30.6268	0.4962	30.6268	0.4439	40.2465	467.6195	SRR1818390	4.4394	463.1801
AT1G25230	Canonical	5636	99.35	45.9125	0.5376	46.2139	0.023	64.1652	1171.4561	SRR3290784	4.8229	1166.6332
AT1G25240	Unobserved	3145	55.44	2.034	0.9496	3.6689	0.0059	33.178	971.6166	SRR3581852	0.7188	970.8977
AT1G25250	Other	5564	98.08	3.4455	0.7018	3.513	0.0099	4.0189	61.7748	SRR3724663	3.6873	58.0875
AT1G25260	Canonical	5673	100	70.1362	0.4314	70.1362	0.0462	66.1424	1124.1732	SRR5469591	2.1459	1122.0273
AT1G25270	Other	502	8.85	0.294	0.9864	3.323	0.0042	8.8747	55.1778	SRR2927339	2.1257	53.0521
AT1G25275	Canonical	5670	99.95	209.5915	0.3698	209.7024	0.0525	215.8773	2538.9854	ERR1337944	6.4713	2532.5141
AT1G25277	Unobserved	5386	94.94	4.2036	0.7035	4.4276	0.0268	5.9151	74.6718	ERR1337962	6.1677	68.5042
AT1G25280	Canonical	5673	100	34.3671	0.3285	34.3671	0.8646	17.0344	169.4033	SRR5222800	2.7804	166.6229
AT1G25290	Canonical	5671	99.96	12.5359	0.3658	12.5403	0.0797	5.6056	50.4476	SRR5344021	5.224	45.2237
AT1G25300	Unobserved	378	6.66	0.0576	0.9901	0.8644	0.0154	1.8414	17.852	SRR3581857	6.9376	10.9144
AT1G25310	Unobserved	1385	24.41	3.5606	0.9753	14.5845	0.0175	104.6741	1760.1931	SRR5363475	1.262	1758.9312
AT1G25320	Canonical	5668	99.91	10.704	0.526	10.7135	0.0663	8.8042	111.2349	SRR5222798	7.4795	103.7555
AT1G25330	Other	928	16.36	2.3164	0.9775	14.1602	0.0051	54.609	969.2498	SRR3581890	6.3564	962.8933
AT1G25340	Unobserved	741	13.06	0.1059	0.9807	0.8106	0.0148	1.7488	14.07	SRR2163593	8.8941	5.1759
AT1G25350	Canonical	5673	100	35.3928	0.3785	35.3928	0.4904	18.7182	268.2216	SRR5222800	2.7804	265.4412
AT1G25360	Other	5656	99.7	2.9909	0.6957	2.9999	0.035	2.4239	56.2382	ERR1698198	6.0933	50.1449
AT1G25370	Canonical	5661	99.79	11.8895	0.6049	11.9147	0.0195	14.2679	282.9763	SRR4293718	2.6309	280.3454
AT1G25375	Canonical	5671	99.96	8.047	0.4758	8.0499	0.0148	4.3061	53.254	ERR1698204	4.7257	48.5283
AT1G25380	Canonical	5673	100	20.9031	0.3696	20.9031	0.4595	9.0599	114.9837	ERR1698204	4.7257	110.2579
AT1G25390	Canonical	5672	99.98	17.3637	0.4772	17.3668	0.0579	14.1109	177.1371	SRR4048219	5.5941	171.5431
AT1G25400	Unobserved	5625	99.15	29.263	0.6322	29.5127	0.033	54.9386	1193.6846	SRR1947749	2.7504	1190.9342
AT1G25410	Canonical	340	5.99	0.7808	0.9912	13.0278	0.009	42.2011	286.0568	ERR588038	4.4739	281.5829
AT1G25420	Canonical	5673	100	25.2343	0.3149	25.2343	0.2069	8.9226	105.4501	ERR1698200	9.2014	96.2487
AT1G25422	Unobserved	4729	83.36	2.7722	0.8502	3.3256	0.0147	9.5001	220.2771	SRR5227399	0.8655	219.4115
AT1G25425	Unobserved	5547	97.78	4.7553	0.6378	4.8633	0.0151	4.0189	65.103	ERR1698204	4.7257	60.3772
AT1G25440	Unobserved	5568	98.15	162.9679	0.3776	166.0411	0.0174	143.7711	1099.0179	SRR3165555	6.6393	1092.3787
AT1G25450	Canonical	5648	99.56	32.3586	0.446	32.5019	0.0218	28.6475	262.1782	SRR3581853	4.4943	257.6839
AT1G25460	Canonical	4917	86.67	1.6954	0.8274	1.9561	0.016	3.6338	53.2384	SRR3581881	6.9131	46.3253
AT1G25470	Unobserved	5671	99.96	16.7217	0.4449	16.7276	0.2152	11.7083	127.2603	SRR2828731	0.3128	126.9474
AT1G25480	Canonical	5671	99.96	10.2683	0.4746	10.2719	0.0423	6.6447	73.0608	SRR5229953	6.6416	66.4193
AT1G25490	Canonical	5673	100	62.0247	0.273	62.0247	2.0788	26.7702	261.4666	SRR3664396	4.8591	256.6075
AT1G25500	Other	5671	99.96	7.2918	0.6057	7.2944	0.0159	6.405	130.8824	SRR2828731	0.3128	130.5695
AT1G25510	Canonical	5600	98.71	15.5942	0.6128	15.7975	0.0139	23.1926	299.5987	SRR3581700	10.7345	288.8642
AT1G25520	Canonical	5672	99.98	22.3564	0.3798	22.3604	0.284	13.7547	122.9726	SRR3165543	2.22	120.7526
AT1G25530	Canonical	5643	99.47	15.6069	0.6425	15.6899	0.0123	29.3065	373.8718	SRR2037351	5.3461	368.5257
AT1G25540	Canonical	5673	100	14.189	0.3645	14.189	0.1129	6.934	60.2047	SRR2922629	22.2932	37.9115
AT1G25550	Canonical	5668	99.91	78.749	0.4226	78.8185	0.0258	63.4369	1105.3619	SRR3664415	4.8187	1100.5433
AT1G25560	Canonical	5658	99.74	78.1176	0.439	78.3247	0.029	82.2395	990.1493	SRR2086512	4.7963	985.353
AT1G25570	Canonical	5673	100	23.1586	0.3894	23.1586	0.2821	12.0042	146.9247	SRR5220584	7.036	139.8887
AT1G25580	Canonical	5670	99.95	12.6312	0.4976	12.6379	0.1691	8.2752	131.7139	SRR2828730	0.4495	131.2644
AT1G25682	Canonical	5672	99.98	23.919	0.39	23.9232	0.5742	11.712	166.1342	SRR3124740	7.9049	158.2294
AT1G25988	Other	1128	19.88	0.1722	0.9794	0.8661	0.0077	2.1948	36.279	SRR3463194	8.3472	27.9318
AT1G26090	Canonical	5668	99.91	11.3646	0.3919	11.3746	0.0342	4.8232	52.804	ERR1698205	4.5515	48.2525
AT1G26100	Other	5655	99.68	9.9643	0.5583	9.996	0.0289	7.5597	130.9279	ERR1698197	7.068	123.8598
AT1G26110	Canonical	5673	100	117.6466	0.2792	117.6466	1.3462	52.8447	630.1669	SRR5755224	4.5298	625.637
AT1G26120	Canonical	5672	99.98	11.0954	0.3773	11.0973	0.1095	3.7953	48.8448	SRR5448377	4.7432	44.1017
AT1G26130	Canonical	5671	99.96	6.6645	0.5198	6.6668	0.0297	4.2666	51.2157	SRR3581852	0.7188	50.4969
AT1G26140	Unobserved	2031	35.8	0.1141	0.9663	0.3187	0.0147	0.4981	12.5807	ERR1698198	6.0933	6.4874
AT1G26150	Canonical	5672	99.98	49.1716	0.4406	49.1803	0.0502	41.2393	591.8051	ERR1698207	7.4333	584.3718
AT1G26160	Canonical	5673	100	18.9954	0.3029	18.9954	0.3086	6.2544	66.3998	ERR1698209	6.5967	59.8031
AT1G26170	Canonical	5672	99.98	9.7228	0.3824	9.7245	0.2062	4.3869	39.0903	SRR5448377	4.7432	34.3472
AT1G26180	Canonical	5671	99.96	19.8078	0.3328	19.8148	0.2088	10.3304	74.8313	ERR1588814	7.961	66.8703
AT1G26190	Canonical	5671	99.96	9.3668	0.5055	9.3701	0.2673	7.0034	82.7187	SRR2136681	10.043	72.6757
AT1G26200	Unobserved	5271	92.91	1.5644	0.836	1.6837	0.0103	3.3986	63.2836	SRR3141294	5.5911	57.6925
AT1G26210	Other	5669	99.93	33.7799	0.4049	33.8037	0.0827	24.6443	241.7944	SRR5038590	3.6646	238.1299
AT1G26220	Canonical	5669	99.93	49.88	0.3096	49.9152	0.4827	30.7029	209.8162	SRR3606162	2.0364	207.7798
AT1G26230	Canonical	5652	99.63	14.3602	0.4439	14.4135	0.0164	10.8864	71.5141	SRR4416025	9.8203	61.6937
AT1G26240	Unobserved	2555	45.04	9.8962	0.9267	21.9732	0.0092	90.4593	1435.4891	SRR5031528	9.6243	1425.8648
AT1G26250	Unobserved	31	0.55	0.0006	0.9982	0.1059	0.0184	0.0782	0.3064	SRR5480330	1.6657	-1.3593
AT1G26255	Unobserved	474	8.36	0.0254	0.9879	0.3043	0.0069	0.4666	3.725	SRR2221842	10.0248	-6.2998
AT1G26260	Unobserved	5668	99.91	7.9797	0.584	7.9868	0.0229	7.5239	112.8022	ERR1698200	9.2014	103.6008
AT1G26270	Canonical	5673	100	53.8264	0.4189	53.8264	1.1384	43.1827	660.3021	ERR903950	6.9734	653.3287
AT1G26300	Canonical	5672	99.98	8.3919	0.4732	8.3934	0.3486	4.8873	54.5455	SRR5238816	0.1146	54.431
AT1G26310	Unobserved	1932	34.06	0.2987	0.9637	0.8772	0.0045	2.331	26.253	SRR3581869	7.1896	19.0634
AT1G26320	Canonical	419	7.39	0.2506	0.9875	3.393	0.0117	8.3821	89.478	SRR3581686	0.918	88.56
AT1G26330	Canonical	5609	98.87	1.9454	0.7255	1.9676	0.0033	2.1216	25.452	ERR1698203	5.5134	19.9386
AT1G26340	Canonical	5672	99.98	28.1103	0.391	28.1152	0.0972	15.5761	202.5667	SRR5239991	3.9493	198.6174
AT1G26350	Unobserved	169	2.98	0.0096	0.9958	0.3216	0.012	0.4232	4.4545	SRR2828728	5.3449	-0.8903
AT1G26355	Other	596	10.51	0.0897	0.9933	0.8542	0.0136	6.2916	145.1206	SRR5479136	0.2168	144.9038
AT1G26360	Other	3562	62.79	0.7168	0.9429	1.1416	0.0039	4.5561	231.7267	SRR5238815	0.0487	231.678
AT1G26370	Canonical	5668	99.91	13.4541	0.344	13.466	0.0437	6.7436	48.7173	SRR5239991	3.9493	44.7681
AT1G26380	Canonical	4852	85.53	29.2354	0.8232	34.1823	0.0163	163.7503	2744.516	SRR4048234	5.4485	2739.0675
AT1G26390	Canonical	4148	73.12	16.5873	0.8632	22.6856	0.0117	95.6961	2141.4006	SRR1773564	10.1421	2131.2584
AT1G26400	Canonical	1404	24.75	0.5635	0.9822	2.2768	0.0102	11.937	213.4664	SRR2927368	0.5476	212.9189
AT1G26410	Canonical	3692	65.08	4.0533	0.9041	6.2281	0.0155	26.1568	699.9761	SRR1773563	9.9314	690.0447
AT1G26420	Canonical	4893	86.25	9.3666	0.7996	10.8597	0.0193	32.8501	465.8998	SRR4048222	5.3009	460.5989
AT1G26440	Canonical	5673	100	27.6838	0.5214	27.6838	0.2492	25.1803	623.479	SRR2828722	0.852	622.6271
AT1G26450	Canonical	5535	97.57	15.8002	0.673	16.1941	0.0161	28.1787	1106.5548	SRR3664388	5.6565	1100.8983
AT1G26460	Canonical	5671	99.96	35.2145	0.4038	35.2269	0.3108	20.6161	310.3789	SRR5755227	4.6231	305.7559
AT1G26470	Canonical	5671	99.96	33.4806	0.4625	33.4924	0.1178	25.6183	500.5605	SRR5227406	1.9665	498.5941
AT1G26480	Canonical	1297	22.86	1.5288	0.9806	6.6867	0.0069	32.6719	640.8326	SRR3581686	0.918	639.9146
AT1G26500	Other	5606	98.82	2.582	0.6144	2.6128	0.052	1.5902	20.4453	ERR1698198	6.0933	14.352
AT1G26510	Other	2975	52.44	0.1498	0.9562	0.2856	0.0138	0.485	13.4407	SRR2828728	5.3449	8.0959
AT1G26515	Other	1209	21.31	0.4243	0.9728	1.9909	0.0188	6.0183	57.1413	ERR1698202	8.5671	48.5742
AT1G26520	Canonical	5668	99.91	6.5433	0.5646	6.5491	0.0429	4.6052	73.6604	SRR2828728	5.3449	68.3156
AT1G26530	Other	5553	97.88	2.1707	0.7732	2.2176	0.0217	3.8481	40.1217	SRR5480330	1.6657	38.456
AT1G26540	Canonical	5578	98.33	4.3187	0.7653	4.3922	0.013	8.5003	142.9688	SRR5755227	4.6231	138.3458
AT1G26550	Canonical	5673	100	101.2996	0.2664	101.2996	1.4694	38.4917	483.8713	ERR903950	6.9734	476.8979
AT1G26560	Canonical	5621	99.08	14.4152	0.6092	14.5486	0.0088	16.4568	376.4829	ERR588045	4.9512	371.5317
AT1G26570	Canonical	5636	99.35	9.8793	0.5212	9.9441	0.0216	7.5868	88.7147	SRR4095612	2.3644	86.3503
AT1G26580	Other	5673	100	80.6578	0.3608	80.6578	0.74	58.9591	706.506	ERR1698206	8.0033	698.5027
AT1G26590	Unobserved	5071	89.39	0.6746	0.8507	0.7547	0.0153	1.0465	14.984	SRR5238816	0.1146	14.8694
AT1G26600	Unobserved	4865	85.76	2.3324	0.7856	2.7198	0.011	2.4724	110.2947	SRR1231506	1.6647	108.63
AT1G26610	Unobserved	5046	88.95	0.7619	0.9015	0.8566	0.012	2.3947	43.4889	SRR3581863	10.3262	33.1627
AT1G26620	Canonical	5673	100	9.3728	0.5054	9.3728	0.0434	5.3795	87.6884	SRR2828722	0.852	86.8364
AT1G26630	Canonical	5673	100	803.7074	0.2292	803.7074	5.3283	414.7913	4915.9982	SRR1231507	0.7191	4915.2791
AT1G26640	Canonical	5673	100	20.8801	0.4003	20.8801	0.0458	11.3964	135.2649	SRR5448377	4.7432	130.5217
AT1G26650	Canonical	5673	100	29.9916	0.4235	29.9916	0.1664	16.027	319.266	SRR2828731	0.3128	318.9532
AT1G26660	Canonical	5672	99.98	7.7611	0.5057	7.7625	0.096	5.1017	59.5216	SRR1231509	2.6304	56.8912
AT1G26665	Canonical	5670	99.95	50.798	0.4759	50.8249	0.1216	55.7041	909.8345	SRR5167802	1.8288	908.0057
AT1G26670	Canonical	5673	100	60.1666	0.3051	60.1666	1.4657	37.1347	288.2632	SRR6048701	7.235	281.0283
AT1G26680	Other	4495	79.23	1.7969	0.9229	2.2678	0.0032	16.0755	572.1187	SRR3664383	5.6958	566.4229
AT1G26690	Canonical	5673	100	25.7019	0.4087	25.7019	0.1866	16.5451	189.5081	ERR1194865	2.8348	186.6733
AT1G26700	Unobserved	2776	48.93	0.6514	0.9275	1.3312	0.0034	2.844	33.8062	SRR3664380	4.7745	29.0317
AT1G26710	Unobserved	340	5.99	0.8946	0.9835	14.9263	0.0343	28.7566	217.3594	SRR3581865	8.0651	209.2944
AT1G26720	Unobserved	2183	38.48	4.2131	0.9553	10.9487	0.0245	50.2559	937.7721	SRR3581691	7.9008	929.8713
AT1G26730	Canonical	5640	99.42	6.9419	0.7769	6.9825	0.0182	23.3547	677.3974	SRR3124740	7.9049	669.4925
AT1G26740	Canonical	5671	99.96	24.451	0.4378	24.4597	0.0387	18.9335	211.445	SRR5755224	4.5298	206.9152
AT1G26750	Canonical	5671	99.96	35.2484	0.3017	35.2608	0.0414	17.748	140.0745	ERR1588879	2.9228	137.1517
AT1G26760	Canonical	5462	96.28	5.9891	0.682	6.2205	0.0115	8.196	106.4518	SRR5469591	2.1459	104.3059
AT1G26761	Canonical	5334	94.02	26.0139	0.4517	27.6672	0.0128	23.1722	133.2726	ERR1406291	4.6493	128.6232
AT1G26762	Unobserved	3744	66	1.3429	0.9082	2.0348	0.0485	8.6336	197.5419	ERR1588983	6.2707	191.2711
AT1G26770	Canonical	5655	99.68	49.6981	0.5888	49.8563	0.0309	85.9058	2761.8381	SRR5239991	3.9493	2757.8888
AT1G26773	Unobserved	36	0.63	0.007	0.998	1.0957	0.1255	1.1245	5.5511	SRR2828728	5.3449	0.2062
AT1G26780	Unobserved	4096	72.2	2.582	0.8848	3.5761	0.0068	11.0849	308.6025	SRR2828722	0.852	307.7506
AT1G26790	Other	3709	65.38	2.5317	0.9123	3.8723	0.0162	13.8499	237.8023	SRR5264227	6.3986	231.4037
AT1G26795	Canonical	251	4.42	0.4799	0.9884	10.8461	0.0208	26.3984	220.0783	SRR3581726	6.8796	213.1986
AT1G26796	Other	229	4.04	0.6207	0.9922	15.3769	0.0522	46.8568	350.5296	SRR5229948	8.1855	342.3441
AT1G26797	Other	171	3.01	0.7457	0.9918	24.739	0.0422	51.0853	264.1132	SRR5229948	8.1855	255.9277
AT1G26798	Other	118	2.08	0.0772	0.9948	3.7125	0.0851	6.976	44.5216	SRR5229948	8.1855	36.3362
